UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Çettoo,@KaannCetinnn,2020-04-02T22:27:02.000Z,Saçı üçe vurup sakalı bırakma fikri git kardeşim. Bunlar covid oyunları git.,,,2,,33,[],https://twitter.com/KaannCetinnn/status/1245840188644847616
Osman TOK,@tokosman05,2020-04-03T18:31:22.000Z,"Cumhurbaşkanımız Sayın Recep Tayyip Erdoğan açıkladı, yeni Covid-19 tedbirleri. Her bir karar sağlığımız içindir.",,,,,1,"['https://pbs.twimg.com/media/EUswsNcWoAs43mq?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EUswslJXYAMO1vx?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EUswsZRX0AcNSDA?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EUswsy0WsAESMIP?format=jpg&name=360x360']",https://twitter.com/tokosman05/status/1246143270834581504
FURKAN,@FrknnnnnCakir,2020-04-06T23:07:14.000Z,"'Ya ben fazlayım bu şehirde, ya biri eksik'...
#PoyrazKarayel #vaka30217 #Covid_19 #내사람_은광아_보고싶었어 #",,,,,5,['https://pbs.twimg.com/media/EU9MmtaXYAAcxQH?format=jpg&name=small'],https://twitter.com/FrknnnnnCakir/status/1247299856634458115
mahsun ayan,@MahsunAyan,2020-04-08T22:21:30.000Z,"“Ve tarih bunu yazsın istiyorum 
@ercumentovali
 ve ekibi #covid19 u yenen aşı, ilacı buldu..!#GaziMustafaKemalATATÜRK’ün ışığından giden bilim adamımız Bilimle kalın diyen güzel yürekli insan ","Alıntı Tweet
Ercüment Ovalı
@ercumentovali
 · 7 Nis 2020
Bizleri.Merak ettiğinizi biliyoruz. Şimdilik her şey yolunda demekle yetineceğim. Iyi kandiller Turkiyem.",👏 👏 👏,,,1,"['https://pbs.twimg.com/profile_images/1028251681983811584/Kqt8EDUe_mini.jpg', 'https://pbs.twimg.com/media/EVB0r5FXYAE7F1Q?format=jpg&name=small']",https://twitter.com/MahsunAyan/status/1248013125460221955
Abdullah GAMZELİ,@apho05_1907,2020-04-09T19:19:26.000Z,"Siyah maske takanlar da ne gırışıyorlar hemi
Yol da izde markette bi görsen
Sanki koronayla anlaşma yapmışlar Maskeye güvenmeyin
#EvdeKal’ın Evde #Covid_19",,,,,14,[],https://twitter.com/apho05_1907/status/1248329693138423809
tolstoyunbisikleti55,@eskiusul_,2020-04-12T06:02:23.000Z,"Abi maskeni ver de Bim' e almıyorlar çıkıp vereyim diyen bir ülkede covid 19 testi yerine zeka testi de uygulansa olmaz mı 

#pazar",,,,,4,[],https://twitter.com/eskiusul_/status/1249216272086249477
Aygül 𒆜,@aygulerms08,2020-04-13T17:41:14.000Z,Dünyayı karşıma aldım ; “dışarı çıkamıyorsam baharını içime ver! “ dedim  #Covid_19 #coronaturkiye #bahargeldi #pazartesi,,☘ 🌸,,,8,['https://pbs.twimg.com/media/EVgFEKKXYAMrZRw?format=jpg&name=small'],https://twitter.com/aygulerms08/status/1249754532898365441
Sefa,@ssefahoca,2020-04-14T19:35:04.000Z,Meğer hepiniz çok iyi aşçılarmışsınızda haberimiz yokmuş. Gastronomi bölümü #Covid19 sayesinde kontenjanları artırır.,,,,,5,[],https://twitter.com/ssefahoca/status/1250145566501322754
